"feature_name","times_in_top20","Average Rt(min)","Average Mz","Metabolite name","Adduct type","MS/MS assigned","Formula","Ontology","sample_to_blank_ratio"
"F181_mz86.0602_rt0.45",7,0.453,86.06023,"Unknown","[M+H]+",FALSE,"null","null",10.0758440978786
"F3461_mz331.1297_rt1.01",7,1.011,331.12967,"Unknown","[M+H]+",FALSE,"null","null",880900
"F1765_mz202.1078_rt1",6,1.003,202.1078,"Unknown","[M+H]+",TRUE,"null","null",143.679705252224
"F2323_mz244.095_rt1.18",6,1.179,244.09496,"Unknown","[M+H]+",FALSE,"null","null",420124
"F2350_mz245.181_rt0.44",6,0.437,245.181,"Unknown","[M+H]+",FALSE,"null","null",379953
"F1754_mz201.1642_rt1.21",5,1.207,201.1642,"Unknown","[M+H]+",FALSE,"null","null",402351
"F1789_mz203.1798_rt1.6",5,1.604,203.17984,"Unknown","[M+H]+",TRUE,"null","null",294228
"F2021_mz219.1749_rt1.21",5,1.207,219.17487,"Unknown","[M+H]+",FALSE,"null","null",840.608970672801
"F2587_mz264.0986_rt1.08",5,1.084,264.09857,"Unknown","[M+H]+",FALSE,"null","null",1324433
"F3348_mz319.0188_rt0.42",5,0.421,319.01883,"Unknown","[M+H]+",FALSE,"null","null",170813
"F362_mz104.0707_rt0.55",5,0.549,104.07069,"Unknown","[M+H]+",FALSE,"null","null",27.5598450283197
"F1700_mz198.0976_rt0.69",4,0.693,198.09758,"Unknown","[M+H]+",FALSE,"null","null",86.9845669495789
"F2125_mz227.1434_rt1.54",4,1.543,227.14345,"Unknown","[M+H]+",FALSE,"null","null",227372
"F3172_mz305.1348_rt0.66",4,0.659,305.1348,"Unknown","[M+H]+",FALSE,"null","null",381607
"F3243_mz312.0542_rt1",4,1.003,312.05423,"Unknown","[M+H]+",TRUE,"null","null",1490151
"F3857_mz367.1217_rt1.32",4,1.32,367.12167,"Unknown","[M+H]+",TRUE,"null","null",552672
"F958_mz145.1015_rt1.21",4,1.207,145.10153,"Unknown","[M+H]+",FALSE,"null","null",269.526017029328
"F1003_mz148.0396_rt1.21",3,1.207,148.03957,"Unknown","[M+H]+",TRUE,"null","null",1214.60107334526
"F1358_mz174.0553_rt0.89",3,0.893,174.05533,"Unknown","[M+H]+",TRUE,"null","null",1895749
"F2020_mz219.1747_rt1.58",3,1.582,219.1747,"Unknown","[M+H]+",TRUE,"null","null",99.0571033050701
